,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8
128,Au Garage À Vélos,"19 Rue Gérando, 75009 Paris, France",48.8828963,2.3462808,17,20,14,Jupiler,6.5,5.0,50,tripel karmeliet,7.5,6.5,50.0,Kwak,7.5,6.5,50.0,Hoegaarden Wit-Blanche,7.5 ,6.5 ,50,Goose ipa,7.5 ,6.5 ,50,Camden pale,7.5 ,6.5 ,50,Desperados,6 ,6 ,33,Corona,6 ,6 ,33
129,Au Grand Turenne,"29 Boulevard du Temple, 75011 Paris, France",48.865324,2.3651446,14,1,0,Kronenbourg,5.0,5.0,50,1664,8.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
130,Au Jour j,"29 Rue Jean-Pierre Timbaud, 75011 Paris, France",48.865588,2.3691209,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Au Metro,"19 Rue de Malte, 75011 Paris-11E-Arrondissement, France",48.864428,2.3685101,17,1930,10,Cheapest beer,7.9,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Au Métro,"39 Rue de Lancry, 75010 Paris, France",48.870973,2.361396,0,0,1,Kronenbourg,,4.0,50,1664,,6.0,50.0,Grimbergen Blonde,,6.0,50.0,,,,,,,,,,,,,,,,,,,,
133,Au Métro 14,"66 Rue Raymond Losserand, 75014 Paris, France",48.8341951,2.3182426,16,19,3,Cheapest beer,7.0,4.8,50,Licorne,,4.8,50.0,,,,,,,,,,,,,,,,,,,,,,,,
134,Au Nouveau Monde,"2 Rue des Boucheries, 33000 Bordeaux, France",44.8358349,-0.5693102,1630,1830,2,Cheapest beer,6.5,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Au P'Tit Clin D'Oeil,"92 Boulevard Diderot, 75012 Paris, France",48.8469211,2.3843354,16,22,12,1664,5.0,3.5,50,La Chouffe,7.0,5.5,50.0,Vedett Extra IPA,9.0,7.0,50.0,Vedett Extra White,6.5 ,5 ,50,Chimay Rouge,8 ,6.5 ,50,,,,,,,,,,,,
136,Au P'Tit Douai,"38 Rue de Douai, 75009 Paris, France",48.8827777,2.3322862,16,19,0,Cheapest beer,7.2,4.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Au Paon D'or,"5 Rue de l'Hôpital Militaire, 59800 Lille, France",50.637113,3.0584067,1430,1730,1,Cheapest beer,5.5,5.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Au Passage Des Artistes,"23 Rue des cinq Diamants, 75013 Paris, France",48.8287628,2.3508143,16,20,13,Stella Artois,5.0,4.0,50,Pietra,7.0,4.5,50.0,La Chouffe,7.0,4.5,50.0,Chimay Triple,7 ,4.5 ,50,blanche ,7 ,4.5 ,50,,,,,,,,,,,,
139,Au Petit Bistrot D'Auteuil,"8 Rue Verderet, 75016 Paris, France",48.8471612,2.2683181,0,0,1,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Au Petit Moulin Le Molino,17 Rue Tholozé,48.8865775,2.3355039,0,0,1,Cheapest beer,8.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Au Pied Dans L'eau,"623 Chemin de la Plage, 69270 Rochetaillée-sur-Saône, France",45.8358052,4.8365887,0,0,0,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Au Pied De Fouet,"1 Rue de Birague, 75004 Paris-4E-Arrondissement, France",48.8540935,2.3648455,15,21,3,Thor Pilsner,,3.5,50,Pelforth,7.0,5.0,50.0,La Chouffe,10.0,6.0,50.0,Affligem,9 ,6 ,50,,,,,,,,,,,,,,,,
143,Au Pti'7,"36 Rue de la Thibaudière, 69007 Lyon, France",45.7498165,4.8461312,0,0,0,Primus,2.5,,25,La Castor,4.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,
144,Au Père Rousseau,"10 Rue Caulaincourt, 75018 Paris-18E-Arrondissement, France",48.8852551,2.33071,15,23,9,Cheapest beer,4.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Au QG,"Place de la République, 78300 Poissy, France",48.9276364,2.0430695,17,19,2,Cheapest beer,7.6,3.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Au Rendez Vous Des Amis,"135 Rue du Théâtre, 75015 Paris, France",48.8454755,2.2971891,0,0,0,Kronenbourg,5.6,,50,1664,6.2,,50.0,Heineken,4.0,,33.0,,,,,,,,,,,,,,,,,,,,
147,Au Rendez-Vous Des Amis,"1 Rue Saint-Alexandre, 69005 Lyon, France",45.7566782,4.8161436,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Au Rendez-vous Des Amis,"10 Avenue du Père Lachaise, 75020 Paris, France",48.8639836,2.3978341,0,0,0,Cheapest beer,,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Au Rêve,"89 Rue Caulaincourt, 75018 Paris, France",48.889678,2.3378042,16,19,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Au Soleil,"Rue du Marché au Charbon 86, 1000 Bruxelles, Belgium",50.8455902,4.3480881,0,0,3,Cheapest beer,3.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Au Soleil D'Austerlitz,"18 Boulevard de l'Hôpital, 75005 Paris, France",48.8418011,2.3628467,0,0,0,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Au Soleil D'Or,"10 Rue de la Boulangerie, 93200 Saint-Denis, France",48.9351582,2.3579065,0,0,1,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Au Soleil De La Butte,"32 Rue Muller, 75018 Paris, France",48.8865096,2.3452428,17,22,0,Cheapest beer,6.0,6.0,50,1664,8.0,,50.0,Kronenbourg,8.0,,50.0,,,,,,,,,,,,,,,,,,,,
156,Au Tahiti,"237 Rue de Cassel, 59299 Boeschepe, France",50.81646,2.6624185,0,0,0,Cheapest beer,1.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Au Temps Des Rois,"3 Place Plumereau, 37000 Tours, France",47.3946714,0.6818706260672882,0,0,0,Kronenbourg,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Au Tire Bouchon,"29 Rue du Général de Gaulle, 68340 Riquewihr, France",48.1669823,7.297127,0,0,1,Cheapest beer,5.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Au Torboyo,"5 Rue de Chativesle, 51100 Reims, France",49.2559193,4.02615,17,19,3,Kronenbourg Tigre Bock,5.5,3.5,50,La Chouffe,8.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
160,Au Val De Loire,"176 Rue Saint-Maur, 75011 Paris, France",48.8703908,2.3731695,17,20,1,Cheapest beer,5.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Au Vieux Saint-Sauveur,"19 Place Saint-Sauveur, 22100 Dinan, France",48.4536308,-2.042534,0,0,2,Amstel,4.8,,50,Leffe Ruby,6.3,,50.0,Leffe Blonde,6.1,,50.0,Triple Karmeliet,8.5 ,,50,Kilkenny,6.3 ,,50,Licorne,6.1 ,,50,Hoegaarden Wit-Blanche,6.1 ,,50,,,,
162,Au géo,"2 Rue Jonquoy, 75014 Paris, France",48.830283,2.3138658,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Au loup,"Place du Marché aux Fleurs, 34000 Montpellier, France",43.61140695,3.877647406901028,17,20,1,Cheapest beer,5.8,3.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Au table du Père lachaise,"44 Boulevard de Ménilmontant, 75020 Paris, France",48.863216,2.3875141,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Auberge Du Braconnier,"1 Rue Abbé Chevalier, 72300 Notre-Dame-du-Pé, France",47.7308727,-0.3263261,0,0,0,Cheapest beer,5.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Auberge Du Télé,"Route des Moranches, 74170 Les Contamines-Montjoie, France",45.8166351,6.7248644,0,0,0,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Auberge Flora,"44 Boulevard Richard Lenoir, 75011 Paris, France",48.8582344,2.3718619,15,19,2,Cheapest beer,7.2,4.0,50,Volcelest,,5.0,50.0,Conrad,,4.0,50.0,,,,,,,,,,,,,,,,,,,,
169,Auberge Saint Augustin,"49 Rue de Laborde, 75008 Paris, France",48.875474,2.3175699,16,2230,17,Cheapest beer,7.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Auberge Saint-Pierre,"Grande Rue, 50170 Le Mont-Saint-Michel, France",48.6351603,-1.5103268,0,0,0,Heineken,8.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Auberge des Artistes,"132 Boulevard de Ménilmontant, 75020 Paris, France",48.8662028,2.3841127,15,30,3,Cheapest beer,4.5,3.5,50,Triple Karmeliet,6.8,6.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
173,Auróra,"Budapest, Auróra u., Hongrie",47.4983815,19.0404707,0,0,0,Cheapest beer,1.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Austerlitz K'Fé,"6 Boulevard de l'Hôpital, 75005 Paris, France",48.842739,2.3635441,17,20,1,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Australian Café,"20 Quai des Antilles, 44200 Nantes, France",47.2026088,-1.5717722,0,0,0,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Authentik,"Rue Balard, 75015 Paris, France",48.8403352,2.2780205,0,0,0,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Autour Du Moulin,"88 Rue Lepic, 75018 Paris, France",48.8873044,2.3361827,16,19,1,Cheapest beer,6.0,5.5,50,Grolsch,,6.0,50.0,Delirium Tremens,,6.5,50.0,Licher Weizen,,6.5 ,50,,,,,,,,,,,,,,,,
179,Aux 2 Avenues Chez Toufik,"79 Avenue Gallieni, 93170 Bagnolet, France",48.8620982,2.4161368,0,0,2,Amstel,5.0,,50,Grimbergen Blonde,7.0,,50.0,Diverses bonnes bières bouteilles,5.0,,33.0,,,,,,,,,,,,,,,,,,,,
180,Aux 2 academies,15 Rue Bonaparte,48.8562221,2.3345053,0,0,0,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Aux Chiffons,"90 Rue Marcadet, 75018 Paris, France",48.8906647,2.3460115,0,0,1,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Aux Douzes Apotres,"5 Rue Mercière, 67000 Strasbourg, France",48.5813939,7.7495527,16,19,1,Cheapest beer,5.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Aux Edelweiss,"85 Avenue Gambetta, 75020 Paris, France",48.8656209,2.3989408,1730,20,0,Cheapest beer,5.8,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Aux Folies,"8 Rue de Belleville, 75020 Paris, France",48.8722451,2.3778798,0,0,10,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Aux Loups Des Mers,"33 Quai du Grand Port, 29100 Douarnenez, France",48.0957826,-4.3246628,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Aux Marsouins,"50 Boulevard de Port-Royal, 75005 Paris, France",48.8375939,2.3465903,15,1,7,Cheapest beer,4.0,4.0,50,La Chouffe,7.0,6.0,50.0,Stella Artois,,4.0,50.0,,,,,,,,,,,,,,,,,,,,
187,Aux Ours,"236 Rue des Pyrénées, 75020 Paris, France",48.8674762,2.3966167,16,20,5,Cheapest beer,5.0,4.0,50,Affligem,7.0,5.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
188,Aux Paraiges,"27 Rue du Change, 57000 Metz, France",49.11728115,6.178849568094336,1730,20,1,Cheapest beer,4.0,2.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Aux Petits Joueurs,"59 Rue de Mouzaïa, 75019 Paris, France",48.8804648,2.3961285,0,0,0,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Aux Petits Tonneaux,"13 Rue du Faubourg du Temple, 75010 Paris, France",48.8683383,2.3656278,0,0,5,Heineken,,5.0,50,Leffe Blonde,,5.0,50.0,Edelweiss Blanche,,5.0,50.0,Amstel,,5 ,50,La Chouffe,8.5 ,,50,,,,,,,,,,,,
191,Aux Ptits Oignons,"Zone Dombriand, 22100 Taden, France",48.4805911,-2.041869284289824,0,0,1,Campus,5.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Aux Rattrapages,"14 Rue des Fossés Saint-Bernard, 75005 Paris, France",48.8487364,2.355045,0,0,10,Cheapest beer,3.0,,50,La Chouffe,6.0,,50.0,Delirium Tremens,5.0,,50.0,,,,,,,,,,,,,,,,,,,,
193,Aux Rigolos,"180 Avenue de Clichy, 75017 Paris, France",48.8928385,2.316518,16,23,1,Cheapest beer,5.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Aux Tonneaux Des Halles,"28 Rue Montorgueil, 75001 Paris, France",48.86371,2.3465474,14,22,3,Cheapest beer,6.0,4.0,50,Tono,,4.0,50.0,La Chouffe,,6.5,50.0,Asahi,,5 ,50,Perohi,,5 ,50,Saint Stephanus,,7 ,50,,,,,,,,
195,Aux Trois Maillets,"67 Rue St Denis, 75001 Paris, France",48.8589387,2.3476662,13,23,6,Heineken,8.0,6.0,50,Delirium Tremens,,7.0,50.0,La Chouffe,,7.0,50.0,Cuvée des Trolls,,7 ,50,Chimay Rouge,,7 ,50,Affligem,,7 ,50,Kwak,,7.5 ,50,TBD,TBD,TBD,TBD
196,AveK,"21 Rue Saint-Sauveur, 75002 Paris-2E-Arrondissement, France",48.865964,2.3488784,0,0,2,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Avec Ma Blonde,"69 Rue Damrémont, 75018 Paris, France",48.8924611,2.3354323,16,19,0,Orgemont,7.0,5.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Ay Mi Madre,"Calle de la Palma, 41, 28004 Madrid, España",40.4264048,-3.7050183,0,0,1,Cheapest beer,1.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Ayer's Boat,"21 Quai Victor Augagneur, 69003 Lyon, France",45.7605951,4.8411013,16,19,1,Cheapest beer,5.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Azur Bar,"84 Rue Saint-Dizier, 54000 Nancy, France",48.6883791,6.184122,0,0,1,Cheapest beer,2.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Bar Athic,"6 Place de l'Étoile, 67210 Obernai, France",48.4622702,7.4796773,0,0,1,Cheapest beer,5.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Bar Au Vingt,"20 Rue Pannecau, 64100 Bayonne, France",43.4897577,-1.4733886,18,20,0,Cheapest beer,5.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Café Aventura,"21 Rue Saint-Lazare, 75009 Paris, France",48.8766497,2.3368624,0,0,0,Cheapest beer,,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,L Autan,"58 Boulevard d'Arcole, 31000 Toulouse, France",43.6117637,1.4388607,0,0,1,Paulaner,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,L'APOLLO Montparnasse,"106 Boulevard du Montparnasse, 75014 Paris, France",48.8415344,2.3307428,16,19,1,Warsteiner,8.0,6.0,50,Grimbergen Ambrée,8.0,6.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
208,L'Abri Côtier,"24 Boulevard Albert 1er, 76600 Le Havre, France",49.4999351,0.0895516,0,0,1,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,L'Abribus,"56 Rue de Bagnolet, 75020 Paris, France",48.8573821,2.399193,16,20,5,Cheapest beer,3.5,3.5,50,La Chouffe,,5.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
210,L'Absence,"6 Quai François Mitterrand, 44200 Nantes, France",47.2075756,-1.5576422,0,0,0,Cheapest beer,3.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,L'Adada,"15 Rue du Maine, 75014 Paris, France",48.8405681,2.3223299,16,19,11,Kronenbourg,5.5,4.0,50,Grimbergen Blonde,7.0,6.0,50.0,Guinness,7.0,6.0,50.0,Carlsberg,7 ,6 ,50,Grimbergen Blanche,7 ,6 ,50,Grimbergen Rouge,7 ,6 ,50,,,,,,,,
212,L'Adresse,"2 Rue Hervet, 92500 Rueil-Malmaison, France",48.8773631,2.1791741,17,20,3,Cheapest beer,7.3,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,L'Affiche,"49 Rue le Marois, 75016 Paris, France",48.8377437,2.2592527,15,23,2,Cheapest beer,7.5,6.0,50,Affligem,8.2,,50.0,Mort Subite Blanche,8.1,,50.0,Ciney Blonde,8.1 ,,50,Lagunitas IPA,8.5 ,,50,,,,,,,,,,,,
214,L'After,"3 Rue de la Gaité, 75014 Paris, France",48.8406615,2.3245098,14,21,9,Cheapest beer,6.2,5.5,50,Delirium Tremens,6.5,6.0,50.0,Triple Karmeliet,7.5,6.5,50.0,Kwak,7.5 ,6.5 ,50,Blanche Des Neiges,7 ,6 ,50,Brewdog Punk IPA,7.5 ,6.5 ,50,Leffe Blonde,,,50,,,,
216,L'Akroche,"8 Rue Mgr Lavarenne, 69005 Lyon, France",45.7592647,4.8269252,0,0,0,Cheapest beer,,3.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,L'Alambic,"Rue du Moulin aux Moines, 72650 La Chapelle-Saint-Aubin, France",48.0387174,0.1765756,0,0,0,Cheapest beer,3.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,L'Alexandra,"106 Rue du Commerce, 37000 Tours, France",47.39462055,0.6825082523945952,0,0,6,Cheapest beer,3.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,L'Alibi,"11 Rue Lapeyrere, 75018 Paris-18E-Arrondissement, France",48.8920227,2.3428666,0,0,2,Kobus Pilsner,5.0,,50,La Chouffe,7.0,,50.0,Kasteel Brune,7.0,,50.0,Brunehaut Blonde,7 ,,50,,,,,,,,,,,,,,,,
220,L'Almanach Bistrot,"53 Rue de la République, 31300 Toulouse, France",43.5982372,1.4326033,0,0,0,Cheapest beer,,2.7,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,L'Almodobar,"38 Rue du Sentier, 75002 Paris, France",48.8706222,2.3466593,17,20,0,Cheapest beer,6.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,L'Alsacien,"6 Rue Saint-Bon, 75004 Paris, France",48.8583231,2.350549,0,0,0,Fischer Tradition,6.0,,50,Fischer ambrée,8.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
223,L'Altercafé,"21 Quai des Antilles, 44200 Nantes, France",47.20076985,-1.5732795314677142,0,0,1,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,L'Alternateur,"Place Denfert Rochereau, 79000 Niort, France",46.32969155,-0.4592239692577778,17,19,0,Cheapest beer,5.0,2.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,L'Alternative,1 Rue du 27 Juin,49.4343345,2.0860294,16,1730,1,Cheapest beer,6.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,L'Amadeus,"54 Bis Avenue Mozart, 75016 Paris, France",48.8576482,2.2735843,0,0,0,1664,,7.0,50,Grimbergen Blonde,,8.5,50.0,Grimbergen Blanche,,8.5,50.0,Brooklyn Lager,,8.8 ,50,,,,,,,,,,,,,,,,
227,L'Annexe,"47 Avenue François Devosge, 70100 Gray, France",47.4479154,5.5844385,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,L'Annexe,"74 Rue de Metz, 62520 Le Touquet-Paris-Plage, France",50.5222462,1.5840832,0,0,0,Heineken,6.8,,50,Affligem,7.2,,50.0,Edelweiss Blanche,7.6,,50.0,Pelforth Brune,4.6 ,,33,Desperados,4.9 ,,33,Mort Subite Blanche,4.9 ,,33,Lagunitas IPA,4.9 ,,33,Hapkin,4.9 ,,33
229,L'Antidote,"45 Rue Descartes, 75005 Paris, France",48.8452705,2.349197,16,20,6,Cheapest beer,5.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,L'Antidote,108 Rue Saint-Georges,45.345980721455604,-73.72565413473475,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,L'Antisèche,"130 Rue Oberkampf, 75011 Paris, France",48.8662408,2.3802157,1630,2030,4,Cheapest beer,5.0,3.5,50,La Chouffe,7.0,6.0,50.0,Coq Hardi,7.0,,50.0,Leffe Blonde,7 ,5 ,50,,,,,,,,,,,,,,,,
232,L'Antisèche,"17 Rue Salomon Reinach, 69007 Lyon, France",45.7521576,4.8398299,16,19,0,Primus,5.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,L'Antre II Mondes,"21 Rue d'Ahuy, 21000 Dijon, France",47.3278719,5.0383095,16,18,0,Cheapest beer,5.8,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,L'Antrechoc,"75 Bis Quai de la Pie, 94100 Saint-Maur-des-Fossés, France",48.7854264,2.4833809,0,0,1,Pelforth,2.9,,25,Affligem,7.0,,50.0,Adelscott,6.0,,33.0,Desperados,6 ,,33,super bock,3 ,,25,TBD,TBD,TBD,TBD,,,,,,,,
235,L'Apostrophe,"23 Rue de la Grange aux Belles, 75010 Paris, France",48.8746858,2.3662628,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,L'Appart,"162 Rue du Faubourg Saint-Antoine, 75012 Paris, France",48.8520337,2.3732022,16,22,0,Cheapest beer,7.8,7.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,L'Appart Bar,"23 Place de la Basse Vieille Tour, 76000 Rouen, France",49.437845,1.0956828,17,20,1,Cheapest beer,6.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,L'Ariel,"20 Rue des Martyrs, 75009 Paris, France",48.877974,2.3396821,17,19,0,Cheapest beer,6.2,4.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,L'Arsenal,"2 Rue de Birague, 75004 Paris, France",48.8540417,2.3649875,0,0,4,Cheapest beer,4.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,L'Arsenik,"48 Boulevard de Clichy, 75018 Paris, France",48.8831303,2.3356351,16,20,3,Mutzig Old Lager,7.0,4.4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,L'Arsouille,"22 Rue des Trois Frères, 75018 Paris, France",48.8847374,2.341102,17,1930,3,Cheapest beer,5.8,4.5,50,La Chouffe,,6.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
242,L'Art Brut Bistrot,"78 Rue Quincampoix, 75003 Paris, France",48.8621665,2.3511124,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,L'Asile,"50 Quai d'Austerlitz, 75013 Paris, France",48.8411758,2.369142,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,L'Assassin,99 Rue Jean-Pierre Timbaud,48.8687677,2.3799802,0,0,5,Stella Artois,,3.5,50,Hoegaarden Wit-Blanche,7.0,5.5,50.0,Leffe Blonde,,5.0,50.0,Brooklyn Lager,,6 ,50,Delirium Tremens,,6 ,50,Brewdog Punk IPA,,7 ,50,La Chouffe,,6 ,50,,,,
245,L'Assignat,"7 Rue Guénégaud, 75006 Paris, France",48.8561789,2.339542,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,L'Assommoir,"37 Rue Rodier, 75009 Paris, France",48.8796155,2.3433684,18,20,2,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,L'Atelier Royal,"17 Rue Royale, 59800 Lille, France",50.6393937,3.0583889,17,19,1,Cheapest beer,6.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,L'Atelier d'Grand Père,"11 Rue Sainte-Barbe, 67000 Strasbourg, France",48.5820316,7.7455891,1630,19,1,Cheapest beer,5.1,2.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,L'Atlantic,33 Avenue du Capitaine Glarner,48.9044033,2.3289422,0,0,3,Cheapest beer,4.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,L'Atlantico,"19 Quai des Pêcheurs, 67000 Strasbourg, France",48.5836664,7.758565,0,0,2,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,L'Atmospher,"12 Place Pierre Renaudel, 33800 Bordeaux, France",44.8313576,-0.5618548,0,0,0,Cheapest beer,6.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,L'Attirail,"9 Rue au Maire, 75003 Paris, France",48.8644851,2.3569256,0,0,34,Stella Artois,3.3,,50,tongerlo,5.5,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
253,L'Attirail (Saint-Martin),"8 Boulevard Saint-Martin, 75010 Paris-10E-Arrondissement, France",48.8688882,2.3575128,0,0,38,Cheapest beer,3.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,L'Auberge Corse,"Montée Saint-Roch, 20169 Bonifacio, France",41.3873534,9.1604162,0,0,0,Pietra,8.0,,50,Colomba Blanche,8.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
255,L'Audiernes,22 Rue Louise Weiss,48.4532191,-2.0605083,15,23,24,Cheapest beer,6.0,3.5,50,Pelforth,6.5,5.0,50.0,Affligem,,7.0,50.0,Hoegaarden Wit-Blanche,,4.5 ,33,Corona,,4.5 ,33,La Chouffe,,6 ,33,Chimay Bleue,,6 ,33,TBD,TBD,TBD,TBD
256,L'Autentik,"4 Rue Alphonse Milon, 35760 Saint-Grégoire, France",48.1521212,-1.6846408,0,0,0,Cheapest beer,4.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,L'Autre Café,"62 Rue Jean-Pierre Timbaud, 75011 Paris, France",48.8667633,2.3740819,17,1930,4,Cheapest beer,7.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,L'Avenue Café,"19 Avenue Philippe-Auguste, 75011 Paris, France",48.8507867,2.3942019,14,20,1,Cheapest beer,6.5,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
